edge_id,edge_type,source_obj,sink_obj,is_back_edge
0_99,1,0_98,0_8,0
0_102,1,0_4,0_9,0
0_104,1,0_103,0_10,0
0_105,1,0_103,0_11,0
0_106,1,0_5,0_27,0
0_108,1,0_107,0_27,0
0_109,1,0_9,0_27,0
0_111,1,0_110,0_28,0
0_112,1,0_27,0_28,0
0_113,1,0_6,0_29,0
0_114,1,0_107,0_29,0
0_115,1,0_107,0_29,0
0_116,1,0_103,0_30,0
0_117,1,0_29,0_30,0
0_118,1,0_107,0_31,0
0_119,1,0_8,0_31,0
0_120,2,0_42,0_32,0
0_121,1,0_8,0_34,0
0_122,1,0_34,0_36,0
0_123,1,0_34,0_37,0
0_124,1,0_34,0_38,0
0_125,1,0_103,0_38,0
0_126,1,0_37,0_39,0
0_128,1,0_127,0_39,0
0_129,1,0_36,0_40,0
0_131,1,0_130,0_40,0
0_132,2,0_49,0_41,0
0_133,1,0_107,0_43,0
0_134,2,0_42,0_43,0
0_135,1,0_72,0_43,1
0_136,2,0_74,0_43,1
0_138,1,0_137,0_44,0
0_139,2,0_42,0_44,0
0_140,1,0_47,0_44,1
0_141,2,0_74,0_44,1
0_142,1,0_44,0_45,0
0_144,1,0_143,0_45,0
0_145,1,0_44,0_47,0
0_147,1,0_146,0_47,0
0_148,1,0_45,0_48,0
0_149,2,0_58,0_48,0
0_150,2,0_79,0_48,0
0_151,1,0_44,0_50,0
0_152,1,0_5,0_52,0
0_153,1,0_107,0_52,0
0_154,1,0_50,0_52,0
0_155,1,0_52,0_53,0
0_156,1,0_53,0_54,0
0_157,1,0_54,0_55,0
0_158,1,0_55,0_56,0
0_159,1,0_34,0_56,0
0_160,1,0_56,0_57,0
0_161,2,0_74,0_57,0
0_162,2,0_65,0_57,0
0_163,1,0_1,0_59,0
0_164,1,0_107,0_59,0
0_165,1,0_50,0_59,0
0_166,1,0_59,0_60,0
0_167,1,0_60,0_61,0
0_170,1,0_60,0_62,0
0_172,1,0_171,0_62,0
0_174,1,0_173,0_62,0
0_175,1,0_61,0_63,0
0_176,1,0_62,0_63,0
0_177,1,0_63,0_64,0
0_178,2,0_74,0_64,0
0_179,2,0_71,0_64,0
0_181,1,0_180,0_66,0
0_182,1,0_43,0_66,0
0_183,1,0_61,0_66,0
0_184,1,0_62,0_66,0
0_185,1,0_2,0_66,0
0_186,1,0_3,0_66,0
0_187,1,0_5,0_66,0
0_188,1,0_40,0_66,0
0_189,1,0_11,0_66,0
0_190,1,0_10,0_66,0
0_191,1,0_11,0_67,0
0_192,1,0_10,0_68,0
0_193,1,0_66,0_69,0
0_194,1,0_67,0_69,0
0_195,1,0_68,0_69,0
0_196,2,0_74,0_70,0
0_197,1,0_69,0_72,0
0_198,2,0_71,0_72,0
0_199,1,0_43,0_72,0
0_200,2,0_58,0_72,0
0_201,1,0_43,0_72,0
0_202,2,0_65,0_72,0
0_203,2,0_49,0_73,0
0_204,1,0_34,0_75,0
0_207,1,0_39,0_76,0
0_208,1,0_98,0_76,0
0_210,1,0_209,0_76,0
0_211,1,0_76,0_77,0
0_212,1,0_75,0_78,0
0_213,2,0_83,0_78,0
0_214,2,0_87,0_78,0
0_215,1,0_6,0_84,0
0_216,1,0_107,0_84,0
0_217,1,0_77,0_84,0
0_218,1,0_43,0_85,0
0_219,1,0_84,0_85,0
0_220,2,0_92,0_86,0
0_221,1,0_7,0_80,0
0_222,1,0_107,0_80,0
0_223,1,0_77,0_80,0
0_224,1,0_43,0_81,0
0_225,1,0_80,0_81,0
0_226,2,0_92,0_82,0
0_227,1,0_43,0_88,0
0_228,1,0_107,0_88,0
0_229,1,0_38,0_89,0
0_231,1,0_230,0_89,0
0_232,1,0_88,0_90,0
0_233,1,0_89,0_90,0
0_234,1,0_90,0_91,0
0_235,2,0_97,0_91,0
0_236,2,0_95,0_91,0
0_237,1,0_38,0_93,0
0_238,1,0_8,0_93,0
0_239,2,0_42,0_94,0
0_411,2,0_33,0_42,0
0_412,2,0_42,0_49,0
0_413,2,0_49,0_79,0
0_414,2,0_49,0_58,0
0_415,2,0_58,0_65,0
0_416,2,0_58,0_74,0
0_417,2,0_65,0_71,0
0_418,2,0_65,0_74,0
0_419,2,0_71,0_74,0
0_420,2,0_74,0_49,1
0_421,2,0_79,0_87,0
0_422,2,0_79,0_83,0
0_423,2,0_83,0_92,0
0_424,2,0_87,0_92,0
0_425,2,0_92,0_95,0
0_426,2,0_92,0_97,0
0_427,2,0_95,0_42,1
0_428,4,0_53,0_66,0
0_429,4,0_66,0_67,0
0_430,4,0_66,0_68,0
0_431,4,0_31,0_34,0
0_432,4,0_31,0_93,0
0_433,4,0_34,0_93,0
1_88,1,1_87,1_10,0
1_89,1,1_87,1_11,0
1_92,1,1_7,1_15,0
1_95,1,1_3,1_16,0
1_97,1,1_2,1_17,0
1_99,1,1_1,1_18,0
1_100,1,1_18,1_19,0
1_101,1,1_11,1_19,0
1_102,1,1_17,1_20,0
1_103,1,1_10,1_20,0
1_104,2,1_27,1_21,0
1_107,1,1_8,1_81,0
1_108,1,1_24,1_81,0
1_109,2,1_86,1_82,0
1_111,1,1_8,1_77,0
1_112,1,1_24,1_77,0
1_114,1,1_9,1_78,0
1_115,1,1_48,1_78,0
1_116,2,1_86,1_79,0
1_117,1,1_10,1_23,0
1_118,1,1_11,1_24,0
1_119,1,1_23,1_25,0
1_120,1,1_16,1_25,0
1_121,1,1_25,1_26,0
1_122,2,1_43,1_26,0
1_123,2,1_83,1_26,0
1_124,1,1_68,1_71,0
1_125,2,1_70,1_71,0
1_126,1,1_48,1_71,0
1_127,2,1_66,1_71,0
1_128,1,1_23,1_72,0
1_130,1,1_129,1_72,0
1_131,1,1_71,1_73,0
1_132,1,1_11,1_73,0
1_133,1,1_72,1_74,0
1_134,1,1_10,1_74,0
1_135,2,1_27,1_75,0
1_138,1,1_50,1_55,0
1_139,1,1_87,1_55,0
1_141,1,1_140,1_55,0
1_142,1,1_55,1_56,0
1_143,1,1_4,1_57,0
1_145,1,1_144,1_57,0
1_146,1,1_56,1_57,0
1_147,1,1_57,1_58,0
1_148,1,1_5,1_59,0
1_149,1,1_144,1_59,0
1_150,1,1_56,1_59,0
1_151,1,1_59,1_60,0
1_154,1,1_58,1_61,0
1_155,1,1_60,1_61,0
1_156,1,1_51,1_61,0
1_157,1,1_6,1_62,0
